Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform
JIGGLYPUFF,0,BATTLEFIELD,23,2,4,0.17207815669940216,right_platform
FOX,1,BATTLEFIELD,27,1,4,0.05714285714285715,right_platform
FOX,0,BATTLEFIELD,10,0,0,0.15856565449528076,left_platform
MARTH,1,BATTLEFIELD,33,0,1,0.05714285714285715,right_platform
FOX,0,BATTLEFIELD,16,4,2,0.17409909152086137,left_ledge
MARTH,1,BATTLEFIELD,33,2,5,0.05714285714285715,left_platform
FOX,0,FINAL_DESTINATION,18,2,2,0.2356399910014732,left_ledge
MARTH,1,FINAL_DESTINATION,50,2,5,0.30609756097560975,left_ledge
FOX,1,FINAL_DESTINATION,28,4,2,0.2622975220251593,right_ledge
MARTH,0,FINAL_DESTINATION,51,1,4,0.03788617886178862,right_ledge
FOX,0,DREAM_LAND_N64,13,2,2,0.16619958045110175,right_platform
MARTH,1,DREAM_LAND_N64,36,1,4,0.0,right_platform
JIGGLYPUFF,0,BATTLEFIELD,25,3,4,0.19044741157350234,left_platform
FOX,1,BATTLEFIELD,38,1,2,0.05714285714285715,left_platform
FALCO,1,BATTLEFIELD,18,8,2,0.2112713120030143,left_platform
MARTH,0,BATTLEFIELD,8,8,1,0.15937500000000002,right_ledge
FALCO,0,FOUNTAIN_OF_DREAMS,16,1,2,0.17765501083816837,right_platform
MARTH,1,FOUNTAIN_OF_DREAMS,29,3,2,0.0,right_platform
FALCO,1,FINAL_DESTINATION,10,6,2,0.20435341738567303,right_ledge
MARTH,0,FINAL_DESTINATION,25,0,4,0.2703252032520325,right_ledge
FALCO,1,YOSHIS_STORY,10,3,2,0.2188652956936383,left_platform
MARTH,0,YOSHIS_STORY,14,1,1,0.22490695677068423,right_platform
FALCO,1,YOSHIS_STORY,14,6,2,0.19091800325389457,left_platform
MARTH,0,YOSHIS_STORY,17,1,4,0.006012024048096177,top_platform
FOX,1,DREAM_LAND_N64,60,3,4,0.19751881937313578,right_platform
FOX,0,DREAM_LAND_N64,45,6,4,0.0,right_platform
FOX,0,BATTLEFIELD,35,3,4,0.19496499761069155,right_platform
FOX,1,BATTLEFIELD,41,2,4,0.05714285714285715,right_platform
FOX,1,BATTLEFIELD,7,1,1,0.18852668376085804,left_platform
CAPTAIN_FALCON,0,BATTLEFIELD,16,1,0,0.1732142857142857,right_platform
FOX,0,BATTLEFIELD,32,3,4,0.1931897862537633,right_platform
