Character,Win,Stage,L-Cancel Successes,L-Cancel Failures,Max Combo,Mean X Distance,Platform_left_ledge,Platform_left_platform,Platform_right_ledge,Platform_right_platform,Platform_top_platform
YOSHI,0,YOSHIS_STORY,22,43,1,0.131960105956339,0.0,0.0,0.0,0.0,1.0
FOX,1,YOSHIS_STORY,22,43,1,0.0743200687088462,0.0,0.0,0.0,1.0,0.0
YOSHI,0,FOUNTAIN_OF_DREAMS,0,15,3,0.1264517466374579,0.0,0.0,0.0,0.0,1.0
FOX,1,FOUNTAIN_OF_DREAMS,0,15,2,0.0,0.0,1.0,0.0,0.0,0.0
SAMUS,0,BATTLEFIELD,12,3,10,0.1756216593090315,1.0,0.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,12,3,4,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
SAMUS,1,FOUNTAIN_OF_DREAMS,15,5,12,0.1947416538551129,0.0,0.0,0.0,0.0,1.0
FOX,0,FOUNTAIN_OF_DREAMS,15,5,4,0.1664905660377358,0.0,0.0,0.0,0.0,1.0
SAMUS,0,BATTLEFIELD,8,8,12,0.181293514375728,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,8,8,4,0.2461160714285714,0.0,0.0,0.0,1.0,0.0
JIGGLYPUFF,0,BATTLEFIELD,13,9,1,0.1488514087950259,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,13,9,0,0.0554464285714285,0.0,0.0,0.0,1.0,0.0
JIGGLYPUFF,0,BATTLEFIELD,23,2,4,0.1720781566994021,0.0,0.0,0.0,1.0,0.0
FOX,1,BATTLEFIELD,23,2,4,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
MARTH,0,BATTLEFIELD,10,0,0,0.1585656544952807,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,10,0,1,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
MARTH,0,BATTLEFIELD,16,4,2,0.1740990915208613,1.0,0.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,16,4,5,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
MARTH,0,FINAL_DESTINATION,18,2,2,0.2356399910014732,1.0,0.0,0.0,0.0,0.0
FOX,1,FINAL_DESTINATION,18,2,5,0.3060975609756097,1.0,0.0,0.0,0.0,0.0
MARTH,1,FINAL_DESTINATION,28,4,2,0.2622975220251593,0.0,0.0,1.0,0.0,0.0
FOX,0,FINAL_DESTINATION,28,4,4,0.0378861788617886,0.0,0.0,1.0,0.0,0.0
MARTH,0,DREAM_LAND_N64,13,2,2,0.1661995804511017,0.0,0.0,0.0,1.0,0.0
FOX,1,DREAM_LAND_N64,13,2,4,0.0,0.0,0.0,0.0,1.0,0.0
JIGGLYPUFF,0,BATTLEFIELD,25,3,4,0.1904474115735023,0.0,1.0,0.0,0.0,0.0
FOX,1,BATTLEFIELD,25,3,2,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
MARTH,1,BATTLEFIELD,18,8,2,0.2112713120030143,0.0,1.0,0.0,0.0,0.0
FALCO,0,BATTLEFIELD,18,8,1,0.159375,0.0,0.0,1.0,0.0,0.0
MARTH,0,FOUNTAIN_OF_DREAMS,16,1,2,0.1776550108381683,0.0,0.0,0.0,1.0,0.0
FALCO,1,FOUNTAIN_OF_DREAMS,16,1,2,0.0,0.0,0.0,0.0,1.0,0.0
MARTH,1,FINAL_DESTINATION,10,6,2,0.204353417385673,0.0,0.0,1.0,0.0,0.0
FALCO,0,FINAL_DESTINATION,10,6,4,0.2703252032520325,0.0,0.0,1.0,0.0,0.0
MARTH,1,YOSHIS_STORY,10,3,2,0.2188652956936383,0.0,1.0,0.0,0.0,0.0
FALCO,0,YOSHIS_STORY,10,3,1,0.2249069567706842,0.0,0.0,0.0,1.0,0.0
MARTH,1,YOSHIS_STORY,14,6,2,0.1909180032538945,0.0,1.0,0.0,0.0,0.0
FALCO,0,YOSHIS_STORY,14,6,4,0.0060120240480961,0.0,0.0,0.0,0.0,1.0
FOX,1,DREAM_LAND_N64,60,3,4,0.1975188193731357,0.0,0.0,0.0,1.0,0.0
FOX,0,DREAM_LAND_N64,60,3,4,0.0,0.0,0.0,0.0,1.0,0.0
FOX,0,BATTLEFIELD,35,3,4,0.1949649976106915,0.0,0.0,0.0,1.0,0.0
FOX,1,BATTLEFIELD,35,3,4,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,7,1,1,0.188526683760858,0.0,1.0,0.0,0.0,0.0
FOX,0,BATTLEFIELD,7,1,0,0.1732142857142857,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,32,3,4,0.1931897862537633,0.0,0.0,0.0,1.0,0.0
FOX,1,BATTLEFIELD,32,3,2,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,0,FINAL_DESTINATION,37,3,4,0.2215752884575735,1.0,0.0,0.0,0.0,0.0
FOX,1,FINAL_DESTINATION,37,3,2,0.065040650406504,1.0,0.0,0.0,0.0,0.0
CAPTAIN_FALCON,0,FINAL_DESTINATION,33,4,4,0.2168032882462686,1.0,0.0,0.0,0.0,0.0
FOX,1,FINAL_DESTINATION,33,4,2,0.065040650406504,0.0,0.0,1.0,0.0,0.0
FOX,0,BATTLEFIELD,37,4,4,0.1841411828921742,0.0,0.0,0.0,1.0,0.0
FOX,1,BATTLEFIELD,37,4,4,0.3139285714285714,0.0,1.0,0.0,0.0,0.0
FOX,0,BATTLEFIELD,40,1,4,0.1883685529460267,0.0,0.0,0.0,1.0,0.0
FOX,1,BATTLEFIELD,40,1,4,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
FOX,0,DREAM_LAND_N64,32,3,1,0.1984663156531871,0.0,0.0,1.0,0.0,0.0
FOX,1,DREAM_LAND_N64,32,3,4,0.0,0.0,1.0,0.0,0.0,0.0
SHEIK,1,BATTLEFIELD,19,0,0,0.1665481884057971,0.0,0.0,0.0,1.0,0.0
FOX,0,BATTLEFIELD,19,0,0,0.1732142857142857,0.0,0.0,0.0,1.0,0.0
SHEIK,1,BATTLEFIELD,13,1,1,0.178285637425702,0.0,0.0,0.0,1.0,0.0
FOX,0,BATTLEFIELD,13,1,3,0.2539285714285714,0.0,0.0,0.0,1.0,0.0
SHEIK,1,YOSHIS_STORY,14,0,4,0.2076515359059268,0.0,1.0,0.0,0.0,0.0
FOX,0,YOSHIS_STORY,14,0,4,0.0060120240480961,0.0,1.0,0.0,0.0,0.0
FALCO,0,YOSHIS_STORY,17,2,1,0.1772240734886721,0.0,1.0,0.0,0.0,0.0
SHEIK,1,YOSHIS_STORY,17,2,2,0.0060120240480961,0.0,1.0,0.0,0.0,0.0
FALCO,1,DREAM_LAND_N64,18,0,6,0.1882136296666628,0.0,1.0,0.0,0.0,0.0
SHEIK,0,DREAM_LAND_N64,18,0,1,0.2831764705882352,0.0,1.0,0.0,0.0,0.0
FALCO,0,DREAM_LAND_N64,36,3,4,0.1778873100278173,0.0,1.0,0.0,0.0,0.0
FOX,1,DREAM_LAND_N64,36,3,4,0.3105490196078431,0.0,1.0,0.0,0.0,0.0
FALCO,0,FOUNTAIN_OF_DREAMS,35,8,4,0.1926992474656994,0.0,0.0,0.0,1.0,0.0
FOX,1,FOUNTAIN_OF_DREAMS,35,8,2,0.0,1.0,0.0,0.0,0.0,0.0
FALCO,0,FOUNTAIN_OF_DREAMS,10,2,1,0.1681250475614942,0.0,0.0,0.0,1.0,0.0
FOX,1,FOUNTAIN_OF_DREAMS,10,2,1,0.0,0.0,1.0,0.0,0.0,0.0
MARTH,1,BATTLEFIELD,3,0,1,0.1303859802534687,1.0,0.0,0.0,0.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,3,0,0,0.3183482142857143,0.0,0.0,0.0,0.0,1.0
MARTH,0,BATTLEFIELD,17,6,3,0.2120121873296074,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,17,6,2,0.1785714285714285,0.0,1.0,0.0,0.0,0.0
MARTH,0,YOSHIS_STORY,18,6,4,0.2079396081189141,0.0,0.0,0.0,0.0,1.0
CAPTAIN_FALCON,1,YOSHIS_STORY,18,6,2,0.0060120240480961,0.0,0.0,0.0,1.0,0.0
MARTH,0,YOSHIS_STORY,14,1,2,0.2073609785782332,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,1,YOSHIS_STORY,14,1,2,0.0060120240480961,0.0,1.0,0.0,0.0,0.0
FALCO,0,BATTLEFIELD,15,1,3,0.1519153617156295,0.0,1.0,0.0,0.0,0.0
SHEIK,1,BATTLEFIELD,15,1,2,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
FALCO,0,DREAM_LAND_N64,15,1,1,0.1752478911564625,0.0,0.0,0.0,0.0,1.0
SHEIK,1,DREAM_LAND_N64,15,1,4,0.0,0.0,0.0,0.0,0.0,1.0
FALCO,0,DREAM_LAND_N64,9,1,1,0.1817978024726494,0.0,0.0,0.0,1.0,0.0
SHEIK,1,DREAM_LAND_N64,9,1,2,0.0,0.0,0.0,0.0,1.0,0.0
MARTH,0,FOUNTAIN_OF_DREAMS,5,2,1,0.1573836208529848,0.0,1.0,0.0,0.0,0.0
SHEIK,1,FOUNTAIN_OF_DREAMS,5,2,1,0.3328301886792453,0.0,0.0,0.0,0.0,1.0
MARTH,0,BATTLEFIELD,19,4,6,0.1667648554387863,0.0,0.0,0.0,1.0,0.0
SHEIK,1,BATTLEFIELD,19,4,1,0.0571428571428571,0.0,0.0,0.0,1.0,0.0
MARTH,1,DREAM_LAND_N64,16,4,2,0.1608701676081549,0.0,0.0,0.0,1.0,0.0
SHEIK,0,DREAM_LAND_N64,16,4,2,0.0,0.0,0.0,0.0,0.0,1.0
MARTH,0,FINAL_DESTINATION,10,0,3,0.1650236961752844,1.0,0.0,0.0,0.0,0.0
SHEIK,1,FINAL_DESTINATION,10,0,2,0.065040650406504,1.0,0.0,0.0,0.0,0.0
MARTH,0,BATTLEFIELD,11,4,5,0.1840602250165453,0.0,1.0,0.0,0.0,0.0
SHEIK,1,BATTLEFIELD,11,4,2,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,48,2,1,0.1959113678344447,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,48,2,0,0.1732142857142857,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,44,4,2,0.1737625903254314,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,44,4,2,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,30,5,2,0.1851692425640469,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,30,5,2,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,0,BATTLEFIELD,39,4,2,0.17536619864077,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,39,4,2,0.0571428571428571,0.0,1.0,0.0,0.0,0.0
MARTH,0,BATTLEFIELD,20,7,2,0.1866368926684855,0.0,1.0,0.0,0.0,0.0
CAPTAIN_FALCON,1,BATTLEFIELD,20,7,1,0.1785714285714285,0.0,1.0,0.0,0.0,0.0
MARTH,0,YOSHIS_STORY,21,2,2,0.1796698079218276,0.0,0.0,0.0,0.0,1.0
CAPTAIN_FALCON,1,YOSHIS_STORY,21,2,2,0.2697967363298025,0.0,1.0,0.0,0.0,0.0
MARTH,1,FOUNTAIN_OF_DREAMS,36,5,3,0.2021891731609034,1.0,0.0,0.0,0.0,0.0
CAPTAIN_FALCON,0,FOUNTAIN_OF_DREAMS,36,5,2,0.2643522012578616,0.0,0.0,0.0,0.0,1.0
MARTH,0,DREAM_LAND_N64,19,1,3,0.2124262854725019,0.0,0.0,0.0,1.0,0.0
CAPTAIN_FALCON,1,DREAM_LAND_N64,19,1,1,0.0,0.0,0.0,0.0,1.0,0.0
MARTH,0,YOSHIS_STORY,16,3,4,0.1759159120419596,0.0,1.0,0.0,0.0,0.0
FOX,1,YOSHIS_STORY,16,3,2,0.0060120240480961,0.0,0.0,0.0,0.0,1.0
MARTH,0,YOSHIS_STORY,26,2,6,0.1764696400375975,0.0,1.0,0.0,0.0,0.0
FOX,1,YOSHIS_STORY,26,2,2,0.0060120240480961,0.0,1.0,0.0,0.0,0.0
MARTH,0,YOSHIS_STORY,25,2,4,0.2269643106023086,0.0,0.0,0.0,1.0,0.0
FOX,1,YOSHIS_STORY,25,2,2,0.0060120240480961,0.0,0.0,0.0,1.0,0.0
MARTH,1,BATTLEFIELD,42,7,2,0.2021803699287123,0.0,1.0,0.0,0.0,0.0
MARTH,0,BATTLEFIELD,42,7,2,0.1785714285714285,1.0,0.0,0.0,0.0,0.0
MARTH,1,YOSHIS_STORY,35,5,2,0.2424530932490317,0.0,1.0,0.0,0.0,0.0
MARTH,0,YOSHIS_STORY,35,5,2,0.3312911537360435,0.0,1.0,0.0,0.0,0.0
MARTH,0,YOSHIS_STORY,7,0,0,0.1820460197503441,0.0,1.0,0.0,0.0,0.0
SHEIK,1,YOSHIS_STORY,7,0,0,0.2464929859719439,0.0,0.0,0.0,1.0,0.0
MARTH,0,BATTLEFIELD,30,10,2,0.2019747566676885,0.0,1.0,0.0,0.0,0.0
SHEIK,1,BATTLEFIELD,30,10,6,0.1785714285714285,0.0,0.0,0.0,1.0,0.0
